Mod:Item:MetaData, Localized Name
minecraft:trapdoor, Holzfalltür
minecraft:monster_egg:0, Stein (Silberfischchen)
minecraft:monster_egg:1, Bruchstein (Silberfischchen)
minecraft:monster_egg:2, Steinziegel (Silberfischchen)
minecraft:monster_egg:3, Bemooste Steinziegel (Silberfischchen)
minecraft:monster_egg:4, Rissige Steinziegel (Silberfischchen)
minecraft:monster_egg:5, Gemeißelte Steinziegel (Silberfischchen)
minecraft:stonebrick:0, Steinziegel
minecraft:stonebrick:1, Bemooste Steinziegel
minecraft:stonebrick:2, Rissige Steinziegel
minecraft:stonebrick:3, Gemeißelte Steinziegel
minecraft:brown_mushroom_block, Pilz
minecraft:red_mushroom_block, Pilz
minecraft:iron_bars, Eisengitter
minecraft:glass_pane, Glasscheibe
minecraft:melon_block, Melone
minecraft:vine, Ranken
minecraft:fence_gate, Eichenholzzauntor
minecraft:brick_stairs, Ziegeltreppe
minecraft:stone_brick_stairs, Steinziegeltreppe
minecraft:mycelium, Myzel
minecraft:waterlily, Seerosenblatt
minecraft:nether_brick, Netherziegel
minecraft:nether_brick_fence, Netherziegelzaun
minecraft:nether_brick_stairs, Netherziegeltreppe
minecraft:enchanting_table, Zaubertisch
minecraft:end_portal_frame, Lateral End Portal Frame
minecraft:end_stone, Endstein
minecraft:dragon_egg, Drachenei
minecraft:redstone_lamp, Redstone-Lampe
minecraft:wooden_slab:0, Eichenholzstufe
minecraft:wooden_slab:1, Fichtenholzstufe
minecraft:wooden_slab:2, Birkenholzstufe
minecraft:wooden_slab:3, Tropenholzstufe
minecraft:wooden_slab:4, Akazienholzstufe
minecraft:wooden_slab:5, Schwarzeichenholzstufe
minecraft:sandstone_stairs, Sandsteintreppe
minecraft:emerald_ore, Smaragderz
minecraft:ender_chest, Endertruhe
minecraft:tripwire_hook, Haken
minecraft:emerald_block, Smaragdblock
minecraft:spruce_stairs, Fichtenholztreppe
minecraft:birch_stairs, Birkenholztreppe
minecraft:jungle_stairs, Tropenholztreppe
minecraft:command_block, Befehlsblock
minecraft:beacon, Leuchtfeuer
minecraft:cobblestone_wall:0, Bruchsteinmauer
minecraft:cobblestone_wall:1, Bemooste Bruchsteinmauer
minecraft:wooden_button, Knopf
minecraft:anvil:0, Amboss
minecraft:anvil:1, Leicht beschädigter Amboss
minecraft:anvil:2, Stark beschädigter Amboss
minecraft:trapped_chest, Redstone-Truhe
minecraft:light_weighted_pressure_plate, Wägeplatte (niedrige Gewichte)
minecraft:heavy_weighted_pressure_plate, Wägeplatte (hohe Gewichte)
minecraft:daylight_detector, Tageslichtsensor
minecraft:redstone_block, Redstone-Block
minecraft:quartz_ore, Netherquarzerz
minecraft:hopper, Trichter
minecraft:quartz_block:0, Quarzblock
minecraft:quartz_block:1, Gemeißelter Quarzblock
minecraft:quartz_block:2, Quarzsäule
minecraft:quartz_stairs, Quarztreppe
minecraft:activator_rail, Aktivierungsgleis
minecraft:dropper, Spender
minecraft:stained_hardened_clay:0, Weiße Keramik
minecraft:stained_hardened_clay:1, Orange Keramik
minecraft:stained_hardened_clay:2, Magenta Keramik
minecraft:stained_hardened_clay:3, Hellblaue Keramik
minecraft:stained_hardened_clay:4, Gelbe Keramik
minecraft:stained_hardened_clay:5, Hellgrüne Keramik
minecraft:stained_hardened_clay:6, Rosa Keramik
minecraft:stained_hardened_clay:7, Graue Keramik
minecraft:stained_hardened_clay:8, Hellgraue Keramik
minecraft:stained_hardened_clay:9, Türkise Keramik
minecraft:stained_hardened_clay:10, Violette Keramik
minecraft:stained_hardened_clay:11, Blaue Keramik
minecraft:stained_hardened_clay:12, Braune Keramik
minecraft:stained_hardened_clay:13, Grüne Keramik
minecraft:stained_hardened_clay:14, Rote Keramik
minecraft:stained_hardened_clay:15, Schwarze Keramik
minecraft:stained_glass_pane:0, Weiße Glasscheibe
minecraft:stained_glass_pane:1, Orange Glasscheibe
minecraft:stained_glass_pane:2, Magenta Glasscheibe
minecraft:stained_glass_pane:3, Hellblaue Glasscheibe
minecraft:stained_glass_pane:4, Gelbe Glasscheibe
minecraft:stained_glass_pane:5, Hellgrüne Glasscheibe
minecraft:stained_glass_pane:6, Rosa Glasscheibe
minecraft:stained_glass_pane:7, Graue Glasscheibe
minecraft:stained_glass_pane:8, Hellgraue Glasscheibe
minecraft:stained_glass_pane:9, Türkise Glasscheibe
minecraft:stained_glass_pane:10, Violette Glasscheibe
minecraft:stained_glass_pane:11, Blaue Glasscheibe
minecraft:stained_glass_pane:12, Braune Glasscheibe
minecraft:stained_glass_pane:13, Grüne Glasscheibe
minecraft:stained_glass_pane:14, Rote Glasscheibe
minecraft:stained_glass_pane:15, Schwarze Glasscheibe
minecraft:leaves2:0, Akazienlaub
minecraft:leaves2:1, Schwarzeichenlaub
minecraft:log2:0, Akazienholz
minecraft:log2:1, Schwarzeichenholz
minecraft:acacia_stairs, Akazienholztreppe
minecraft:dark_oak_stairs, Schwarzeichenholztreppe
minecraft:slime, Schleimblock
minecraft:barrier, Barriere
minecraft:iron_trapdoor, Eisenfalltür
minecraft:prismarine:0, Prismarin
minecraft:prismarine:1, Prismarinziegel
minecraft:prismarine:2, Dunkler Prismarin
minecraft:sea_lantern, Seelaterne
minecraft:hay_block, Strohballen
minecraft:carpet:0, Weißer Teppich
minecraft:carpet:1, Oranger Teppich
minecraft:carpet:2, Magenta Teppich
minecraft:carpet:3, Hellblauer Teppich
minecraft:carpet:4, Gelber Teppich
minecraft:carpet:5, Hellgrüner Teppich
minecraft:carpet:6, Rosa Teppich
minecraft:carpet:7, Grauer Teppich
minecraft:carpet:8, Hellgrauer Teppich
minecraft:carpet:9, Türkiser Teppich
minecraft:carpet:10, Violetter Teppich
minecraft:carpet:11, Blauer Teppich
minecraft:carpet:12, Brauner Teppich
minecraft:carpet:13, Grüner Teppich
minecraft:carpet:14, Roter Teppich
minecraft:carpet:15, Schwarzer Teppich
minecraft:hardened_clay, Keramik
minecraft:coal_block, Kohleblock
minecraft:packed_ice, Packeis
minecraft:double_plant:0, Sonnenblume
minecraft:double_plant:1, Flieder
minecraft:double_plant:2, Hohes Gras
minecraft:double_plant:3, Großer Farn
minecraft:double_plant:4, Rosenstrauch
minecraft:double_plant:5, Pfingstrose
minecraft:red_sandstone:0, Roter Sandstein
minecraft:red_sandstone:1, Gemeißelter roter Sandstein
minecraft:red_sandstone:2, Glatter roter Sandstein
minecraft:red_sandstone_stairs, Rote Sandsteintreppe
minecraft:stone_slab2:0, Rote Sandsteinstufe
minecraft:spruce_fence_gate, Fichtenholzzauntor
minecraft:birch_fence_gate, Birkenholzzauntor
minecraft:jungle_fence_gate, Tropenholzzauntor
minecraft:dark_oak_fence_gate, Schwarzeichenholzzauntor
minecraft:acacia_fence_gate, Akazienholzzauntor
minecraft:spruce_fence, Fichtenholzzaun
minecraft:birch_fence, Birkenholzzaun
minecraft:jungle_fence, Tropenholzzaun
minecraft:dark_oak_fence, Schwarzeichenholzzaun
minecraft:acacia_fence, Akazienholzzaun
minecraft:end_rod, Endstab
minecraft:chorus_plant, Choruspflanze
minecraft:chorus_flower, Chorusblüte
minecraft:purpur_block, Purpurblock
minecraft:purpur_pillar, Purpursäule
minecraft:purpur_stairs, Purpurtreppe
minecraft:purpur_slab:0, Purpurstufe
minecraft:end_bricks, Endsteinziegel
minecraft:grass_path, Trampelpfad
minecraft:repeating_command_block, Wiederhol-Befehlsblock
minecraft:chain_command_block, Ketten-Befehlsblock
minecraft:magma, Magmablock
minecraft:nether_wart_block, Netherwarzenblock
minecraft:red_nether_brick, Rote Netherziegel
minecraft:bone_block, Knochenblock
minecraft:structure_void, Konstruktionsleere
minecraft:observer, Beobachter
minecraft:white_shulker_box, Weiße Shulkerkiste
minecraft:orange_shulker_box, Orange Shulkerkiste
minecraft:magenta_shulker_box, Magenta Shulkerkiste
minecraft:light_blue_shulker_box, Hellblaue Shulkerkiste
minecraft:yellow_shulker_box, Gelbe Shulkerkiste
minecraft:lime_shulker_box, Hellgrüne Shulkerkiste
minecraft:pink_shulker_box, Rosa Shulkerkiste
minecraft:gray_shulker_box, Graue Shulkerkiste
minecraft:silver_shulker_box, Hellgraue Shulkerkiste
minecraft:cyan_shulker_box, Türkise Shulkerkiste
minecraft:purple_shulker_box, Violette Shulkerkiste
minecraft:blue_shulker_box, Blaue Shulkerkiste
minecraft:brown_shulker_box, Braune Shulkerkiste
minecraft:green_shulker_box, Grüne Shulkerkiste
minecraft:red_shulker_box, Rote Shulkerkiste
minecraft:black_shulker_box, Schwarze Shulkerkiste
minecraft:white_glazed_terracotta, Weiße glasierte Keramik
minecraft:orange_glazed_terracotta, Orange glasierte Keramik
minecraft:magenta_glazed_terracotta, Magenta glasierte Keramik
minecraft:light_blue_glazed_terracotta, Hellblaue glasierte Keramik
minecraft:yellow_glazed_terracotta, Gelbe glasierte Keramik
minecraft:lime_glazed_terracotta, Hellgrüne glasierte Keramik
minecraft:pink_glazed_terracotta, Rosa glasierte Keramik
minecraft:gray_glazed_terracotta, Graue glasierte Keramik
minecraft:silver_glazed_terracotta, Hellgraue glasierte Keramik
minecraft:cyan_glazed_terracotta, Türkise glasierte Keramik
minecraft:purple_glazed_terracotta, Violette glasierte Keramik
minecraft:blue_glazed_terracotta, Blaue glasierte Keramik
minecraft:brown_glazed_terracotta, Braune glasierte Keramik
minecraft:green_glazed_terracotta, Grüne glasierte Keramik
minecraft:red_glazed_terracotta, Rote glasierte Keramik
minecraft:black_glazed_terracotta, Schwarze glasierte Keramik
minecraft:concrete:0, Weißer Beton
minecraft:concrete:1, Oranger Beton
minecraft:concrete:2, Magenta Beton
minecraft:concrete:3, Hellblauer Beton
minecraft:concrete:4, Gelber Beton
minecraft:concrete:5, Hellgrüner Beton
minecraft:concrete:6, Rosa Beton
minecraft:concrete:7, Grauer Beton
minecraft:concrete:8, Hellgrauer Beton
minecraft:concrete:9, Türkiser Beton
minecraft:concrete:10, Violetter Beton
minecraft:concrete:11, Blauer Beton
minecraft:concrete:12, Brauner Beton
minecraft:concrete:13, Grüner Beton
minecraft:concrete:14, Roter Beton
minecraft:concrete:15, Schwarzer Beton
minecraft:concrete_powder:0, Weißer Trockenbeton
minecraft:concrete_powder:1, Oranger Trockenbeton
minecraft:concrete_powder:2, Magenta Trockenbeton
minecraft:concrete_powder:3, Hellblauer Trockenbeton
minecraft:concrete_powder:4, Gelber Trockenbeton
minecraft:concrete_powder:5, Hellgrüner Trockenbeton
minecraft:concrete_powder:6, Rosa Trockenbeton
minecraft:concrete_powder:7, Grauer Trockenbeton
minecraft:concrete_powder:8, Hellgrauer Trockenbeton
minecraft:concrete_powder:9, Türkiser Trockenbeton
minecraft:concrete_powder:10, Violetter Trockenbeton
minecraft:concrete_powder:11, Blauer Trockenbeton
minecraft:concrete_powder:12, Brauner Trockenbeton
minecraft:concrete_powder:13, Grüner Trockenbeton
minecraft:concrete_powder:14, Roter Trockenbeton
minecraft:concrete_powder:15, Schwarzer Trockenbeton
minecraft:structure_block, Konstruktionsblock
minecraft:iron_shovel, Eisenschaufel
minecraft:iron_pickaxe, Eisenspitzhacke
minecraft:iron_axe, Eisenaxt
minecraft:flint_and_steel, Feuerzeug
minecraft:apple, Apfel
minecraft:bow, Bogen
minecraft:arrow, Pfeil
minecraft:coal:0, Kohle
minecraft:coal:1, Holzkohle
minecraft:diamond, Diamant
minecraft:iron_ingot, Eisenbarren
minecraft:gold_ingot, Goldbarren
minecraft:iron_sword, Eisenschwert
minecraft:wooden_sword, Holzschwert
minecraft:wooden_shovel, Holzschaufel
minecraft:wooden_pickaxe, Holzspitzhacke
minecraft:wooden_axe, Holzaxt
minecraft:stone_sword, Steinschwert
minecraft:stone_shovel, Steinschaufel
minecraft:stone_pickaxe, Steinspitzhacke
minecraft:stone_axe, Steinaxt
minecraft:diamond_sword, Diamantschwert
minecraft:diamond_shovel, Diamantschaufel
minecraft:diamond_pickaxe, Diamantspitzhacke
minecraft:diamond_axe, Diamantaxt
minecraft:stick, Stock
minecraft:bowl, Schüssel
minecraft:mushroom_stew, Pilzsuppe
minecraft:golden_sword, Goldschwert
minecraft:golden_shovel, Goldschaufel
minecraft:golden_pickaxe, Goldspitzhacke
minecraft:golden_axe, Goldaxt
minecraft:string, Faden
minecraft:feather, Feder
minecraft:gunpowder, Schwarzpulver
minecraft:wooden_hoe, Holzhacke
minecraft:stone_hoe, Steinhacke
minecraft:iron_hoe, Eisenhacke
minecraft:diamond_hoe, Diamanthacke
minecraft:golden_hoe, Goldhacke
minecraft:wheat_seeds, Weizenkörner
minecraft:wheat, Weizen
minecraft:bread, Brot
minecraft:leather_helmet, Lederkappe
minecraft:leather_chestplate, Lederjacke
minecraft:leather_leggings, Lederhose
minecraft:leather_boots, Lederstiefel
minecraft:chainmail_helmet, Kettenhaube
minecraft:chainmail_chestplate, Kettenhemd
minecraft:chainmail_leggings, Kettenhose
minecraft:chainmail_boots, Kettenstiefel
minecraft:iron_helmet, Eisenhelm
minecraft:iron_chestplate, Eisenharnisch
minecraft:iron_leggings, Eisenbeinschutz
minecraft:iron_boots, Eisenstiefel
minecraft:diamond_helmet, Diamanthelm
minecraft:diamond_chestplate, Diamantharnisch
minecraft:diamond_leggings, Diamantbeinschutz
minecraft:diamond_boots, Diamantstiefel
minecraft:golden_helmet, Goldhelm
minecraft:golden_chestplate, Goldharnisch
minecraft:golden_leggings, Goldbeinschutz
minecraft:golden_boots, Goldstiefel
minecraft:flint, Feuerstein
minecraft:porkchop, Rohes Schweinefleisch
minecraft:cooked_porkchop, Gebratenes Schweinefleisch
minecraft:painting, Gemälde
minecraft:golden_apple:0, Goldener Apfel
minecraft:golden_apple:1, Goldener Apfel
minecraft:sign, Schild
minecraft:wooden_door, Eichenholztür
minecraft:bucket, Eimer
minecraft:water_bucket, Wassereimer
minecraft:lava_bucket, Lavaeimer
minecraft:minecart, Lore
minecraft:saddle, Sattel
minecraft:iron_door, Eisentür
minecraft:redstone, Redstone
minecraft:snowball, Schneeball
minecraft:boat, Eichenholzboot
minecraft:leather, Leder
minecraft:milk_bucket, Milch
minecraft:brick, Ziegel
minecraft:clay_ball, Tonklumpen
minecraft:reeds, Zuckerrohr
minecraft:paper, Papier
minecraft:book, Buch
minecraft:slime_ball, Schleimball
minecraft:chest_minecart, Güterwaggon
minecraft:furnace_minecart, Triebwagen
minecraft:egg, Ei
minecraft:compass, Kompass
minecraft:fishing_rod, Holzangel
minecraft:clock, Uhr
minecraft:glowstone_dust, Glowstonestaub
minecraft:fish:0, Roher Kabeljau
minecraft:fish:1, Roher Lachs
minecraft:fish:2, Clownfisch
minecraft:fish:3, Kugelfisch
minecraft:cooked_fish:0, Gebratener Kabeljau
minecraft:cooked_fish:1, Gebratener Lachs
minecraft:dye:0, Tintenbeutel
minecraft:dye:1, Rosenrot
minecraft:dye:2, Kaktusgrün
minecraft:dye:3, Kakaobohnen
minecraft:dye:4, Lapislazuli
minecraft:dye:5, Violetter Farbstoff
minecraft:dye:6, Türkiser Farbstoff
minecraft:dye:7, Hellgrauer Farbstoff
minecraft:dye:8, Grauer Farbstoff
minecraft:dye:9, Rosa Farbstoff
minecraft:dye:10, Hellgrüner Farbstoff
minecraft:dye:11, Löwenzahngelb
minecraft:dye:12, Hellblauer Farbstoff
minecraft:dye:13, Magenta Farbstoff
minecraft:dye:14, Oranger Farbstoff
minecraft:dye:15, Knochenmehl
minecraft:bone, Knochen
minecraft:sugar, Zucker
minecraft:cake, Kuchen
minecraft:bed:0, Weißes Bett
minecraft:bed:1, Oranges Bett
minecraft:bed:2, Magenta Bett
minecraft:bed:3, Hellblaues Bett
minecraft:bed:4, Gelbes Bett
minecraft:bed:5, Hellgrünes Bett
minecraft:bed:6, Rosa Bett
minecraft:bed:7, Graues Bett
minecraft:bed:8, Hellgraues Bett
minecraft:bed:9, Türkises Bett
minecraft:bed:10, Violettes Bett
minecraft:bed:11, Blaues Bett
minecraft:bed:12, Braunes Bett
minecraft:bed:13, Grünes Bett
minecraft:bed:14, Rotes Bett
minecraft:bed:15, Schwarzes Bett
minecraft:repeater, Redstone-Verstärker
minecraft:cookie, Keks
minecraft:filled_map:0, Karte
minecraft:shears, Schere
minecraft:melon, Melone
minecraft:pumpkin_seeds, Kürbiskerne
minecraft:melon_seeds, Melonenkerne
minecraft:beef, Rohes Rindfleisch
minecraft:cooked_beef, Steak
minecraft:chicken, Rohes Hühnchen
minecraft:cooked_chicken, Gebratenes Hühnchen
minecraft:rotten_flesh, Verrottetes Fleisch
minecraft:ender_pearl, Enderperle
minecraft:blaze_rod, Lohenrute
minecraft:ghast_tear, Ghastträne
minecraft:gold_nugget, Goldklumpen
minecraft:nether_wart, Netherwarze
minecraft:potion, Trank
minecraft:glass_bottle, Glasflasche
minecraft:spider_eye, Spinnenauge
minecraft:fermented_spider_eye, Fermentiertes Spinnenauge
minecraft:blaze_powder, Lohenstaub
minecraft:magma_cream, Magmacreme
minecraft:brewing_stand, Braustand
minecraft:cauldron, Kessel
minecraft:ender_eye, Enderauge
minecraft:speckled_melon, Glitzernde Melonenscheibe
minecraft:spawn_egg, Erschaffe
minecraft:experience_bottle, Erfahrungsfläschchen
minecraft:fire_charge, Feuerkugel
minecraft:writable_book, Buch und Feder
minecraft:written_book, Beschriebenes Buch
minecraft:emerald, Smaragd
minecraft:item_frame, Rahmen
minecraft:flower_pot, Flowerpot
minecraft:carrot, Karotte
minecraft:potato, Kartoffel
minecraft:baked_potato, Ofenkartoffel
minecraft:poisonous_potato, Giftige Kartoffel
minecraft:map, Leere Karte
minecraft:golden_carrot, Goldene Karotte
minecraft:skull:0, Skelettschädel
minecraft:skull:1, Witherskelettschädel
minecraft:skull:2, Zombiekopf
minecraft:skull:3, Kopf
minecraft:skull:4, Creeperkopf
minecraft:skull:5, Drachenkopf
minecraft:carrot_on_a_stick, Karottenrute
minecraft:nether_star, Netherstern
minecraft:pumpkin_pie, Kürbiskuchen
minecraft:fireworks, Feuerwerksrakete
minecraft:firework_charge, Feuerwerksstern
minecraft:enchanted_book, Verzaubertes Buch
minecraft:comparator, Redstone-Komparator
minecraft:netherbrick, Netherziegel
minecraft:quartz, Netherquarz
minecraft:tnt_minecart, TNT-Waggon
minecraft:hopper_minecart, Trichterwaggon
minecraft:prismarine_shard, Prismarinscherbe
minecraft:prismarine_crystals, Prismarinkristalle
minecraft:rabbit, Rohes Kaninchen
minecraft:cooked_rabbit, Gebratenes Kaninchen
minecraft:rabbit_stew, Kaninchenragout
minecraft:rabbit_foot, Hasenpfote
minecraft:rabbit_hide, Kaninchenfell
minecraft:armor_stand, Rüstungsständer
minecraft:iron_horse_armor, Eiserne Pferderüstung
minecraft:golden_horse_armor, Goldene Pferderüstung
minecraft:diamond_horse_armor, Diamantene Pferderüstung
minecraft:lead, Leine
minecraft:name_tag, Namensschild
minecraft:command_block_minecart, Befehlsblocklore
minecraft:mutton, Rohes Hammelfleisch
minecraft:cooked_mutton, Gebratenes Hammelfleisch
minecraft:banner:15, Weißes Banner
minecraft:banner:14, Oranges Banner
minecraft:banner:13, Magenta Banner
minecraft:banner:12, Hellblaues Banner
minecraft:banner:11, Gelbes Banner
minecraft:banner:10, Hellgrünes Banner
minecraft:banner:9, Rosa Banner
minecraft:banner:8, Graues Banner
minecraft:banner:7, Hellgraues Banner
minecraft:banner:6, Türkises Banner
minecraft:banner:5, Violettes Banner
minecraft:banner:4, Blaues Banner
minecraft:banner:3, Braunes Banner
minecraft:banner:2, Grünes Banner
minecraft:banner:1, Rotes Banner
minecraft:banner:0, Schwarzes Banner
minecraft:end_crystal, Enderkristall
minecraft:spruce_door, Fichtenholztür
minecraft:birch_door, Birkenholztür
minecraft:jungle_door, Tropenholztür
minecraft:acacia_door, Akazienholztür
minecraft:dark_oak_door, Schwarzeichenholztür
minecraft:chorus_fruit, Chorusfrucht
minecraft:chorus_fruit_popped, Geplatzte Chorusfrucht
minecraft:beetroot, Rote Bete
minecraft:beetroot_seeds, Rote-Bete-Samen
minecraft:beetroot_soup, Borschtsch
minecraft:dragon_breath, Drachenatem
minecraft:splash_potion, Wurftrank
minecraft:spectral_arrow, Spektralpfeil
minecraft:tipped_arrow, Getränkter Pfeil
minecraft:lingering_potion, Verweiltrank
minecraft:shield, Schild
minecraft:elytra, Elytren
minecraft:spruce_boat, Fichtenholzboot
minecraft:birch_boat, Birkenholzboot
minecraft:jungle_boat, Tropenholzboot
minecraft:acacia_boat, Akazienholzboot
minecraft:dark_oak_boat, Schwarzeichenholzboot
minecraft:totem_of_undying, Totem der Unsterblichkeit
minecraft:shulker_shell, Shulkerschale
minecraft:iron_nugget, Eisenklumpen
minecraft:knowledge_book, Buch des Wissens
minecraft:record_13, Schallplatte
minecraft:record_cat, Schallplatte
minecraft:record_blocks, Schallplatte
minecraft:record_chirp, Schallplatte
minecraft:record_far, Schallplatte
minecraft:record_mall, Schallplatte
minecraft:record_mellohi, Schallplatte
minecraft:record_stal, Schallplatte
minecraft:record_strad, Schallplatte
minecraft:record_ward, Schallplatte
minecraft:record_11, Schallplatte
minecraft:record_wait, Schallplatte
ae2stuff:encoder, Schablonenkodierer
ae2stuff:grower, Kristallwachstumskammer
ae2stuff:inscriber, Erweiterte Gravurmaschine
ae2stuff:wireless, Wireless Connector
ae2stuff:wireless_kit, Wireless Setup Kit
ae2stuff:visualiser, Network Visualisation Tool
aquaculture:fishing_rod, Holzangel
aquaculture:iron_fishing_rod, Eisenangel
aquaculture:gold_fishing_rod, Goldangel
aquaculture:diamond_fishing_rod, Diamantangel
aquaculture:admin_fishing_rod, Adminangel
aquaculture:loot:0, Treibholz
aquaculture:loot:1, Neptuniumbarren
aquaculture:loot:2, Blechdose
aquaculture:loot:3, Flaschenpost
aquaculture:loot:4, Box
aquaculture:loot:5, Schließkassette
aquaculture:loot:6, Schatztruhe
aquaculture:loot:7, Neptuns Belohnung
aquaculture:food:0, Seetang
aquaculture:food:1, Algen
aquaculture:food:2, Rohes Walsteak
aquaculture:food:3, Rohes Fischfilet
aquaculture:food:4, Gebratenes Fischfilet
aquaculture:food:5, Gebratenes Walsteak
aquaculture:food:6, Gebratener Wal-Burger
aquaculture:food:7, Froschschenkel
aquaculture:food:8, Gekochte Froschschenkel
aquaculture:food:9, Schildkrötensuppe
aquaculture:food:10, Sushi
